lineage,1.0,1.0.2,1.0.3,1.0.5,1.0.6,1.0.7,1.0.8,1.0.9,1.0.10,1.0.11,1.0.12
B.1.1.216,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.217,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.218,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.219,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.220,2add08|A_1,d03608|A_1,314ac8|A_1,ab73fc|A_2,ab73fc|A_2,ab73fc|A_2,ab73fc|A_2,ab73fc|A_2,ab73fc|A_2,ab73fc|A_2,ab73fc|A_2
B.1.1.225,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.226,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.227,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.229,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.230,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.231,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.232,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.236,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.243,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.244,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.25,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.253,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.254,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.255,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.256,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.257,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.258,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.26,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.261,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.262,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.265,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.266,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.267,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.268,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.27,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.270,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.271,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.274,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.277,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.282,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.283,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.284,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.285,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.286,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.288,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.289,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.290,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.291,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.297,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.300,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.301,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
